correction_fn,accurate,TP,TN,FN,FP,contradictory_pairs,consistent_acc_pairs,relevant_pairs,total_questions,num_batches,flips
C_0,933,88,845,4,63,26,3920,739,1000,100,0
MaxSAT,931,87,844,5,64,18,3899,757,1000,100,22
C_1,933,88,845,4,63,26,3921,750,1000,100,14
C_2,935,88,847,4,61,19,3935,728,1000,100,4
C_3,931,88,843,4,65,26,3903,759,1000,100,4
C_4,934,88,846,4,62,24,3929,734,1000,100,1
C_5,934,88,846,4,62,24,3929,734,1000,100,1
C_6,890,85,805,7,103,91,3600,1015,1000,100,59
C_7,928,86,842,6,66,23,3874,772,1000,100,15
C_8,549,75,474,17,434,989,1409,2919,1000,100,478
C_9,929,88,841,4,67,31,3887,770,1000,100,14
C_11,930,88,842,4,66,25,3895,761,1000,100,5
C_12,952,83,869,9,39,12,4076,576,1000,100,37
C_13,929,88,841,4,67,30,3886,769,1000,100,14
